
2024/01/13 (20:21:46) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/01/14 (07:44:27) | ===> btop++ v.1.3.0
2024/01/14 (07:44:27) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/01/15 (21:52:06) | ===> btop++ v.1.3.0
2024/01/15 (21:52:06) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/01/15 (22:12:23) | ===> btop++ v.1.3.0
2024/01/15 (22:12:23) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/01/15 (22:12:24) | ===> btop++ v.1.3.0
2024/01/15 (22:12:24) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/01/16 (15:27:02) | ===> btop++ v.1.3.0
2024/01/16 (15:27:02) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/01/16 (16:23:34) | ===> btop++ v.1.3.0
2024/01/16 (16:23:34) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/01/17 (19:25:25) | ===> btop++ v.1.3.0
2024/01/17 (19:25:25) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/01/17 (20:32:22) | ===> btop++ v.1.3.0
2024/01/17 (20:32:22) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/01/18 (19:15:46) | ===> btop++ v.1.3.0
2024/01/18 (19:15:46) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/01/20 (18:40:57) | ===> btop++ v.1.3.0
2024/01/20 (18:40:57) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/01/20 (20:16:10) | ===> btop++ v.1.3.0
2024/01/20 (20:16:10) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/01/20 (22:15:24) | ===> btop++ v.1.3.0
2024/01/20 (22:15:24) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/01/23 (13:45:12) | ===> btop++ v.1.3.0
2024/01/23 (13:45:12) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/01/23 (15:32:06) | ===> btop++ v.1.3.0
2024/01/23 (15:32:06) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/01/24 (21:14:11) | ===> btop++ v.1.3.0
2024/01/24 (21:14:11) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/01/27 (17:31:05) | ===> btop++ v.1.3.0
2024/01/27 (17:31:05) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/01/28 (22:33:38) | ===> btop++ v.1.3.0
2024/01/28 (22:33:38) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/01/30 (14:37:55) | ===> btop++ v.1.3.0
2024/01/30 (14:37:55) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/01/31 (10:26:31) | ===> btop++ v.1.3.0
2024/01/31 (10:26:31) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/02/01 (20:41:38) | ===> btop++ v.1.3.0
2024/02/01 (20:41:38) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/02/03 (20:46:33) | ===> btop++ v.1.3.0
2024/02/03 (20:46:33) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/02/09 (11:52:54) | ===> btop++ v.1.3.0
2024/02/09 (11:52:54) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/02/09 (11:54:45) | ===> btop++ v.1.3.0
2024/02/09 (11:54:45) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/02/10 (21:07:21) | ===> btop++ v.1.3.0
2024/02/10 (21:07:21) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/02/10 (21:14:59) | ===> btop++ v.1.3.0
2024/02/10 (21:14:59) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/02/13 (10:00:14) | ===> btop++ v.1.3.0
2024/02/13 (10:00:14) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/02/14 (19:12:56) | ===> btop++ v.1.3.0
2024/02/14 (19:12:56) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/02/14 (20:58:06) | ===> btop++ v.1.3.0
2024/02/14 (20:58:06) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/02/18 (13:40:12) | ===> btop++ v.1.3.0
2024/02/18 (13:40:12) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/02/18 (13:40:57) | ===> btop++ v.1.3.0
2024/02/18 (13:40:57) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/03/03 (21:14:13) | ===> btop++ v.1.3.2
2024/03/03 (21:14:13) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/03/03 (21:15:18) | ===> btop++ v.1.3.2
2024/03/03 (21:15:18) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/03/03 (21:15:18) | WARNING: NVML: Failed to get GPU power usage: No data

2024/03/09 (18:24:01) | ===> btop++ v.1.3.2
2024/03/09 (18:24:01) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/03/12 (15:04:42) | ===> btop++ v.1.3.2
2024/03/12 (15:04:42) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/03/12 (15:39:49) | ===> btop++ v.1.3.2
2024/03/12 (15:39:49) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/03/12 (15:40:52) | ===> btop++ v.1.3.2
2024/03/12 (15:40:52) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/03/12 (15:41:17) | ===> btop++ v.1.3.2
2024/03/12 (15:41:17) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/03/14 (18:47:59) | ===> btop++ v.1.3.2
2024/03/14 (18:47:59) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/03/14 (19:05:54) | ===> btop++ v.1.3.2
2024/03/14 (19:05:54) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/03/14 (19:05:54) | WARNING: NVML: Failed to get GPU power usage: No data

2024/03/17 (11:13:53) | ===> btop++ v.1.3.2
2024/03/17 (11:13:53) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
